page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
7,9,2,"$108,415",172.875,210.7618408203125,191.81842041015625,tu,labeled,high_balance,x0,,
7,9,3,"$108,415",309.0,346.8868408203125,327.94342041015625,xp,labeled,high_balance,x0,,
7,9,4,"$108,415",445.125,483.0118408203125,464.06842041015625,eq,labeled,high_balance,x0,,
7,10,,Last,36.75,55.65013885498047,46.200069427490234,label,heading_check,,x0,,
7,10,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,heading_check,,x0,,
7,10,,24.7.2019,172.875,213.1173095703125,192.99615478515625,tu,heading_check,,x0,,
7,10,,Last,36.75,55.65013885498047,46.200069427490234,label,band,,x0,,
7,10,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,band,,x0,,
7,10,,24.7.2019,172.875,213.1173095703125,192.99615478515625,tu,band,,x0,,
7,10,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
7,10,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
7,10,0,Last,36.75,55.65013885498047,46.200069427490234,label,labeled,last_verified,x0,,
7,10,1,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,labeled,last_verified,x0,,
7,10,2,24.7.2019,172.875,213.1173095703125,192.99615478515625,tu,labeled,last_verified,x0,,
7,10,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,last_verified,x0,,
7,10,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,last_verified,x0,,
7,11,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
7,11,,of,60.41015625,69.46542358398438,64.93778991699219,label,heading_check,,x0,,
7,11,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,heading_check,,x0,,
7,11,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,heading_check,,x0,,
7,11,,24.7.2019,172.875,213.1173095703125,192.99615478515625,tu,heading_check,,x0,,
7,11,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
7,11,,of,60.41015625,69.46542358398438,64.93778991699219,label,band,,x0,,
7,11,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,band,,x0,,
7,11,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,band,,x0,,
7,11,,24.7.2019,172.875,213.1173095703125,192.99615478515625,tu,band,,x0,,
7,11,,1.8.2019,309.0,344.1051025390625,326.55255126953125,xp,band,,x0,,
7,11,,1.7.2019,445.125,480.2301025390625,462.67755126953125,eq,band,,x0,,
7,11,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_of_last_activity,x0,,
7,11,1,of,60.41015625,69.46542358398438,64.93778991699219,label,labeled,date_of_last_activity,x0,,
7,11,2,Last,71.80517578125,90.70531463623047,81.25524520874023,label,labeled,date_of_last_activity,x0,,
7,11,3,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,labeled,date_of_last_activity,x0,,
7,11,4,24.7.2019,172.875,213.1173095703125,192.99615478515625,tu,labeled,date_of_last_activity,x0,,
7,11,5,1.8.2019,309.0,344.1051025390625,326.55255126953125,xp,labeled,date_of_last_activity,x0,,
7,11,6,1.7.2019,445.125,480.2301025390625,462.67755126953125,eq,labeled,date_of_last_activity,x0,,
7,12,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
