page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
13,5,,Account,36.75,73.52269744873047,55.136348724365234,label,validate_anchor_row_relaxed,,x0,,
13,5,0,Account,36.75,73.52269744873047,55.136348724365234,label,anchor,account_number_display,x0,,
13,5,,#,75.861328125,81.66632843017578,78.76382827758789,label,validate_anchor_row_relaxed,,x0,,
13,5,1,#,75.861328125,81.66632843017578,78.76382827758789,label,anchor,account_number_display,x0,,
13,5,,349992**********,172.875,253.2615203857422,213.0682601928711,tu,validate_anchor_row_relaxed,,x0,,
13,5,2,349992**********,172.875,253.2615203857422,213.0682601928711,tu,anchor,account_number_display,x0,,
13,5,,349992**********,309.0,389.38653564453125,349.1932678222656,xp,validate_anchor_row_relaxed,,x0,,
13,5,3,349992**********,309.0,389.38653564453125,349.1932678222656,xp,anchor,account_number_display,x0,,
13,5,,-34999***********,445.125,528.2273559570312,486.6761779785156,eq,validate_anchor_row_relaxed,,x0,,
13,5,4,-34999***********,445.125,528.2273559570312,486.6761779785156,eq,anchor,account_number_display,x0,,
13,5,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
13,5,,#,75.861328125,81.66632843017578,78.76382827758789,label,band,,x0,,
13,5,,349992**********,172.875,253.2615203857422,213.0682601928711,tu,band,,x0,,
13,5,,349992**********,309.0,389.38653564453125,349.1932678222656,xp,band,,x0,,
13,5,,-34999***********,445.125,528.2273559570312,486.6761779785156,eq,band,,x0,,
13,5,,#,75.861328125,81.66632843017578,78.76382827758789,label,in_label_band,,x0,,
13,5,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_number_display,x0,,
13,5,1,#,75.861328125,81.66632843017578,78.76382827758789,label,labeled,account_number_display,x0,,
13,5,2,349992**********,172.875,253.2615203857422,213.0682601928711,tu,labeled,account_number_display,x0,,
13,5,3,349992**********,309.0,389.38653564453125,349.1932678222656,xp,labeled,account_number_display,x0,,
13,5,4,-34999***********,445.125,528.2273559570312,486.6761779785156,eq,labeled,account_number_display,x0,,
13,6,,High,36.75,57.380287170410156,47.06514358520508,label,heading_check,,x0,,
13,6,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,heading_check,,x0,,
13,6,,"$10,964",172.875,205.6246337890625,189.24981689453125,tu,heading_check,,x0,,
13,6,,High,36.75,57.380287170410156,47.06514358520508,label,band,,x0,,
13,6,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,band,,x0,,
13,6,,"$10,964",172.875,205.6246337890625,189.24981689453125,tu,band,,x0,,
13,6,,"$10,964",309.0,341.7496337890625,325.37481689453125,xp,band,,x0,,
13,6,,$0,445.125,455.3922119140625,450.25860595703125,eq,band,,x0,,
13,6,0,High,36.75,57.380287170410156,47.06514358520508,label,labeled,high_balance,x0,,
13,6,1,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,labeled,high_balance,x0,,
13,6,2,"$10,964",172.875,205.6246337890625,189.24981689453125,tu,labeled,high_balance,x0,,
13,6,3,"$10,964",309.0,341.7496337890625,325.37481689453125,xp,labeled,high_balance,x0,,
13,6,4,$0,445.125,455.3922119140625,450.25860595703125,eq,labeled,high_balance,x0,,
13,7,,Last,36.75,55.65013885498047,46.200069427490234,label,heading_check,,x0,,
13,7,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,heading_check,,x0,,
13,7,,13.8.2025,172.875,213.1173095703125,192.99615478515625,tu,heading_check,,x0,,
13,7,,Last,36.75,55.65013885498047,46.200069427490234,label,band,,x0,,
13,7,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,band,,x0,,
13,7,,13.8.2025,172.875,213.1173095703125,192.99615478515625,tu,band,,x0,,
13,7,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
13,7,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
13,7,0,Last,36.75,55.65013885498047,46.200069427490234,label,labeled,last_verified,x0,,
13,7,1,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,labeled,last_verified,x0,,
13,7,2,13.8.2025,172.875,213.1173095703125,192.99615478515625,tu,labeled,last_verified,x0,,
13,7,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,last_verified,x0,,
13,7,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,last_verified,x0,,
