page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
14,9,,Account,36.75,73.52269744873047,55.136348724365234,label,validate_anchor_row_relaxed,,x0,,
14,9,0,Account,36.75,73.52269744873047,55.136348724365234,label,anchor,account_number_display,x0,,
14,9,,#,75.861328125,81.66632843017578,78.76382827758789,label,validate_anchor_row_relaxed,,x0,,
14,9,1,#,75.861328125,81.66632843017578,78.76382827758789,label,anchor,account_number_display,x0,,
14,9,,409451******,172.875,233.4333953857422,203.1541976928711,tu,validate_anchor_row_relaxed,,x0,,
14,9,2,409451******,172.875,233.4333953857422,203.1541976928711,tu,anchor,account_number_display,x0,,
14,9,,--,309.0,314.7850036621094,311.8925018310547,xp,validate_anchor_row_relaxed,,x0,,
14,9,3,--,309.0,314.7850036621094,311.8925018310547,xp,anchor,account_number_display,x0,,
14,9,,409451******,445.125,505.68341064453125,475.4042053222656,eq,validate_anchor_row_relaxed,,x0,,
14,9,4,409451******,445.125,505.68341064453125,475.4042053222656,eq,anchor,account_number_display,x0,,
14,9,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
14,9,,#,75.861328125,81.66632843017578,78.76382827758789,label,band,,x0,,
14,9,,409451******,172.875,233.4333953857422,203.1541976928711,tu,band,,x0,,
14,9,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,9,,409451******,445.125,505.68341064453125,475.4042053222656,eq,band,,x0,,
14,9,,#,75.861328125,81.66632843017578,78.76382827758789,label,in_label_band,,x0,,
14,9,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_number_display,x0,,
14,9,1,#,75.861328125,81.66632843017578,78.76382827758789,label,labeled,account_number_display,x0,,
14,9,2,409451******,172.875,233.4333953857422,203.1541976928711,tu,labeled,account_number_display,x0,,
14,9,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,account_number_display,x0,,
14,9,4,409451******,445.125,505.68341064453125,475.4042053222656,eq,labeled,account_number_display,x0,,
14,10,,High,36.75,57.380287170410156,47.06514358520508,label,heading_check,,x0,,
14,10,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,heading_check,,x0,,
14,10,,"$12,091",172.875,205.6246337890625,189.24981689453125,tu,heading_check,,x0,,
14,10,,High,36.75,57.380287170410156,47.06514358520508,label,band,,x0,,
14,10,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,band,,x0,,
14,10,,"$12,091",172.875,205.6246337890625,189.24981689453125,tu,band,,x0,,
14,10,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,10,,"$10,273",445.125,477.8746337890625,461.49981689453125,eq,band,,x0,,
14,10,0,High,36.75,57.380287170410156,47.06514358520508,label,labeled,high_balance,x0,,
14,10,1,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,labeled,high_balance,x0,,
14,10,2,"$12,091",172.875,205.6246337890625,189.24981689453125,tu,labeled,high_balance,x0,,
14,10,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,high_balance,x0,,
14,10,4,"$10,273",445.125,477.8746337890625,461.49981689453125,eq,labeled,high_balance,x0,,
14,11,,Last,36.75,55.65013885498047,46.200069427490234,label,heading_check,,x0,,
14,11,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,heading_check,,x0,,
14,11,,30.6.2025,172.875,213.1173095703125,192.99615478515625,tu,heading_check,,x0,,
14,11,,Last,36.75,55.65013885498047,46.200069427490234,label,band,,x0,,
14,11,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,band,,x0,,
14,11,,30.6.2025,172.875,213.1173095703125,192.99615478515625,tu,band,,x0,,
14,11,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,11,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
14,11,0,Last,36.75,55.65013885498047,46.200069427490234,label,labeled,last_verified,x0,,
14,11,1,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,labeled,last_verified,x0,,
14,11,2,30.6.2025,172.875,213.1173095703125,192.99615478515625,tu,labeled,last_verified,x0,,
14,11,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,last_verified,x0,,
14,11,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,last_verified,x0,,
14,12,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
14,12,,of,60.41015625,69.46542358398438,64.93778991699219,label,heading_check,,x0,,
14,12,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,heading_check,,x0,,
14,12,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,heading_check,,x0,,
14,12,,1.1.2025,172.875,207.9801025390625,190.42755126953125,tu,heading_check,,x0,,
14,12,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
14,12,,of,60.41015625,69.46542358398438,64.93778991699219,label,band,,x0,,
14,12,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,band,,x0,,
14,12,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,band,,x0,,
14,12,,1.1.2025,172.875,207.9801025390625,190.42755126953125,tu,band,,x0,,
14,12,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,12,,1.11.2024,445.125,485.3673095703125,465.24615478515625,eq,band,,x0,,
14,12,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_of_last_activity,x0,,
14,12,1,of,60.41015625,69.46542358398438,64.93778991699219,label,labeled,date_of_last_activity,x0,,
14,12,2,Last,71.80517578125,90.70531463623047,81.25524520874023,label,labeled,date_of_last_activity,x0,,
14,12,3,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,labeled,date_of_last_activity,x0,,
14,12,4,1.1.2025,172.875,207.9801025390625,190.42755126953125,tu,labeled,date_of_last_activity,x0,,
14,12,5,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,date_of_last_activity,x0,,
14,12,6,1.11.2024,445.125,485.3673095703125,465.24615478515625,eq,labeled,date_of_last_activity,x0,,
14,13,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
14,13,,Reported:,60.41015625,104.50787353515625,82.45901489257812,label,heading_check,,x0,,
14,13,,30.6.2025,172.875,213.1173095703125,192.99615478515625,tu,heading_check,,x0,,
14,13,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
14,13,,Reported:,60.41015625,104.50787353515625,82.45901489257812,label,band,,x0,,
14,13,,30.6.2025,172.875,213.1173095703125,192.99615478515625,tu,band,,x0,,
14,13,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,13,,1.8.2025,445.125,480.2301025390625,462.67755126953125,eq,band,,x0,,
14,13,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_reported,x0,,
14,13,1,Reported:,60.41015625,104.50787353515625,82.45901489257812,label,labeled,date_reported,x0,,
14,13,2,30.6.2025,172.875,213.1173095703125,192.99615478515625,tu,labeled,date_reported,x0,,
14,13,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,date_reported,x0,,
14,13,4,1.8.2025,445.125,480.2301025390625,462.67755126953125,eq,labeled,date_reported,x0,,
14,14,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
14,14,,Opened:,60.41015625,98.07867431640625,79.24441528320312,label,heading_check,,x0,,
14,14,,10.11.2022,172.875,218.2545166015625,195.56475830078125,tu,heading_check,,x0,,
14,14,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
14,14,,Opened:,60.41015625,98.07867431640625,79.24441528320312,label,band,,x0,,
14,14,,10.11.2022,172.875,218.2545166015625,195.56475830078125,tu,band,,x0,,
14,14,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,14,,1.11.2022,445.125,485.3673095703125,465.24615478515625,eq,band,,x0,,
14,14,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_opened,x0,,
14,14,1,Opened:,60.41015625,98.07867431640625,79.24441528320312,label,labeled,date_opened,x0,,
14,14,2,10.11.2022,172.875,218.2545166015625,195.56475830078125,tu,labeled,date_opened,x0,,
14,14,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,date_opened,x0,,
14,14,4,1.11.2022,445.125,485.3673095703125,465.24615478515625,eq,labeled,date_opened,x0,,
14,15,,Balance,36.75,72.26800537109375,54.509002685546875,label,heading_check,,x0,,
14,15,,Owed:,74.61328125,103.05767822265625,88.83547973632812,label,heading_check,,x0,,
14,15,,"$12,091",172.875,205.6246337890625,189.24981689453125,tu,heading_check,,x0,,
14,15,,Balance,36.75,72.26800537109375,54.509002685546875,label,band,,x0,,
14,15,,Owed:,74.61328125,103.05767822265625,88.83547973632812,label,band,,x0,,
14,15,,"$12,091",172.875,205.6246337890625,189.24981689453125,tu,band,,x0,,
14,15,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,15,,"$12,091",445.125,477.8746337890625,461.49981689453125,eq,band,,x0,,
14,15,0,Balance,36.75,72.26800537109375,54.509002685546875,label,labeled,balance_owed,x0,,
14,15,1,Owed:,74.61328125,103.05767822265625,88.83547973632812,label,labeled,balance_owed,x0,,
14,15,2,"$12,091",172.875,205.6246337890625,189.24981689453125,tu,labeled,balance_owed,x0,,
14,15,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,balance_owed,x0,,
14,15,4,"$12,091",445.125,477.8746337890625,461.49981689453125,eq,labeled,balance_owed,x0,,
14,16,,Closed,36.75,66.28273010253906,51.51636505126953,label,heading_check,,x0,,
14,16,,Date:,68.6279296875,92.51519775390625,80.57156372070312,label,heading_check,,x0,,
14,16,,1.1.2025,172.875,207.9801025390625,190.42755126953125,tu,heading_check,,x0,,
14,16,,Closed,36.75,66.28273010253906,51.51636505126953,label,band,,x0,,
14,16,,Date:,68.6279296875,92.51519775390625,80.57156372070312,label,band,,x0,,
14,16,,1.1.2025,172.875,207.9801025390625,190.42755126953125,tu,band,,x0,,
14,16,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
14,16,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
14,16,0,Closed,36.75,66.28273010253906,51.51636505126953,label,labeled,closed_date,x0,,
