page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
10,31,,Account,36.75,73.52269744873047,55.136348724365234,label,validate_anchor_row_relaxed,,x0,,
10,31,0,Account,36.75,73.52269744873047,55.136348724365234,label,anchor,account_number_display,x0,,
10,31,,#,75.861328125,81.66632843017578,78.76382827758789,label,validate_anchor_row_relaxed,,x0,,
10,31,1,#,75.861328125,81.66632843017578,78.76382827758789,label,anchor,account_number_display,x0,,
10,31,,****,172.875,192.6960906982422,182.7855453491211,tu,validate_anchor_row_relaxed,,x0,,
10,31,2,****,172.875,192.6960906982422,182.7855453491211,tu,anchor,account_number_display,x0,,
10,31,,****,309.0,328.82110595703125,318.9105529785156,xp,validate_anchor_row_relaxed,,x0,,
10,31,3,****,309.0,328.82110595703125,318.9105529785156,xp,anchor,account_number_display,x0,,
10,31,,552433**********,445.125,525.5115356445312,485.3182678222656,eq,validate_anchor_row_relaxed,,x0,,
10,31,4,552433**********,445.125,525.5115356445312,485.3182678222656,eq,anchor,account_number_display,x0,,
10,31,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
10,31,,#,75.861328125,81.66632843017578,78.76382827758789,label,band,,x0,,
10,31,,****,172.875,192.6960906982422,182.7855453491211,tu,band,,x0,,
10,31,,****,309.0,328.82110595703125,318.9105529785156,xp,band,,x0,,
10,31,,552433**********,445.125,525.5115356445312,485.3182678222656,eq,band,,x0,,
10,31,,#,75.861328125,81.66632843017578,78.76382827758789,label,in_label_band,,x0,,
10,31,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_number_display,x0,,
10,31,1,#,75.861328125,81.66632843017578,78.76382827758789,label,labeled,account_number_display,x0,,
10,31,2,****,172.875,192.6960906982422,182.7855453491211,tu,labeled,account_number_display,x0,,
10,31,3,****,309.0,328.82110595703125,318.9105529785156,xp,labeled,account_number_display,x0,,
10,31,4,552433**********,445.125,525.5115356445312,485.3182678222656,eq,labeled,account_number_display,x0,,
10,32,,High,36.75,57.380287170410156,47.06514358520508,label,heading_check,,x0,,
10,32,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,heading_check,,x0,,
10,32,,"$12,028",172.875,205.6246337890625,189.24981689453125,tu,heading_check,,x0,,
10,32,,High,36.75,57.380287170410156,47.06514358520508,label,band,,x0,,
10,32,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,band,,x0,,
10,32,,"$12,028",172.875,205.6246337890625,189.24981689453125,tu,band,,x0,,
10,32,,$0,309.0,319.2672119140625,314.13360595703125,xp,band,,x0,,
10,32,,"$6,217",445.125,472.7374267578125,458.93121337890625,eq,band,,x0,,
10,32,0,High,36.75,57.380287170410156,47.06514358520508,label,labeled,high_balance,x0,,
10,32,1,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,labeled,high_balance,x0,,
