page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
20,2,,Account,36.75,73.52269744873047,55.136348724365234,label,validate_anchor_row_relaxed,,x0,,
20,2,0,Account,36.75,73.52269744873047,55.136348724365234,label,anchor,account_number_display,x0,,
20,2,,#,75.861328125,81.66632843017578,78.76382827758789,label,validate_anchor_row_relaxed,,x0,,
20,2,1,#,75.861328125,81.66632843017578,78.76382827758789,label,anchor,account_number_display,x0,,
20,2,,--,172.875,178.66000366210938,175.7675018310547,tu,validate_anchor_row_relaxed,,x0,,
20,2,2,--,172.875,178.66000366210938,175.7675018310547,tu,anchor,account_number_display,x0,,
20,2,,--,309.0,314.7850036621094,311.8925018310547,xp,validate_anchor_row_relaxed,,x0,,
20,2,3,--,309.0,314.7850036621094,311.8925018310547,xp,anchor,account_number_display,x0,,
20,2,,--,445.125,450.9100036621094,448.0175018310547,eq,validate_anchor_row_relaxed,,x0,,
20,2,4,--,445.125,450.9100036621094,448.0175018310547,eq,anchor,account_number_display,x0,,
20,2,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
20,2,,#,75.861328125,81.66632843017578,78.76382827758789,label,band,,x0,,
20,2,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,2,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
20,2,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,2,,#,75.861328125,81.66632843017578,78.76382827758789,label,in_label_band,,x0,,
20,2,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_number_display,x0,,
20,2,1,#,75.861328125,81.66632843017578,78.76382827758789,label,labeled,account_number_display,x0,,
20,2,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,account_number_display,x0,,
20,2,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,account_number_display,x0,,
20,2,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,account_number_display,x0,,
20,3,,High,36.75,57.380287170410156,47.06514358520508,label,heading_check,,x0,,
20,3,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,heading_check,,x0,,
20,3,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,3,,High,36.75,57.380287170410156,47.06514358520508,label,band,,x0,,
20,3,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,band,,x0,,
20,3,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,3,,$0,309.0,319.2672119140625,314.13360595703125,xp,band,,x0,,
20,3,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,3,0,High,36.75,57.380287170410156,47.06514358520508,label,labeled,high_balance,x0,,
20,3,1,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,labeled,high_balance,x0,,
20,3,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,high_balance,x0,,
20,3,3,$0,309.0,319.2672119140625,314.13360595703125,xp,labeled,high_balance,x0,,
20,3,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,high_balance,x0,,
20,4,,Last,36.75,55.65013885498047,46.200069427490234,label,heading_check,,x0,,
20,4,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,heading_check,,x0,,
20,4,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,4,,Last,36.75,55.65013885498047,46.200069427490234,label,band,,x0,,
20,4,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,band,,x0,,
20,4,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,4,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
20,4,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,4,0,Last,36.75,55.65013885498047,46.200069427490234,label,labeled,last_verified,x0,,
20,4,1,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,labeled,last_verified,x0,,
20,4,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,last_verified,x0,,
20,4,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,last_verified,x0,,
20,4,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,last_verified,x0,,
20,5,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
20,5,,of,60.41015625,69.46542358398438,64.93778991699219,label,heading_check,,x0,,
20,5,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,heading_check,,x0,,
20,5,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,heading_check,,x0,,
20,5,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,5,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
20,5,,of,60.41015625,69.46542358398438,64.93778991699219,label,band,,x0,,
20,5,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,band,,x0,,
20,5,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,band,,x0,,
20,5,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,5,,1.5.2025,309.0,344.1051025390625,326.55255126953125,xp,band,,x0,,
20,5,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,5,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_of_last_activity,x0,,
20,5,1,of,60.41015625,69.46542358398438,64.93778991699219,label,labeled,date_of_last_activity,x0,,
20,5,2,Last,71.80517578125,90.70531463623047,81.25524520874023,label,labeled,date_of_last_activity,x0,,
20,5,3,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,labeled,date_of_last_activity,x0,,
20,5,4,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,date_of_last_activity,x0,,
20,5,5,1.5.2025,309.0,344.1051025390625,326.55255126953125,xp,labeled,date_of_last_activity,x0,,
20,5,6,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,date_of_last_activity,x0,,
20,6,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
20,6,,Reported:,60.41015625,104.50787353515625,82.45901489257812,label,heading_check,,x0,,
20,6,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,6,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
20,6,,Reported:,60.41015625,104.50787353515625,82.45901489257812,label,band,,x0,,
20,6,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,6,,31.7.2025,309.0,349.2423095703125,329.12115478515625,xp,band,,x0,,
20,6,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,6,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_reported,x0,,
20,6,1,Reported:,60.41015625,104.50787353515625,82.45901489257812,label,labeled,date_reported,x0,,
20,6,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,date_reported,x0,,
20,6,3,31.7.2025,309.0,349.2423095703125,329.12115478515625,xp,labeled,date_reported,x0,,
20,6,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,date_reported,x0,,
20,7,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
20,7,,Opened:,60.41015625,98.07867431640625,79.24441528320312,label,heading_check,,x0,,
20,7,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,7,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
20,7,,Opened:,60.41015625,98.07867431640625,79.24441528320312,label,band,,x0,,
20,7,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,7,,1.11.2022,309.0,349.2423095703125,329.12115478515625,xp,band,,x0,,
20,7,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,7,0,Date,36.75,58.064884185791016,47.40744209289551,label,labeled,date_opened,x0,,
20,7,1,Opened:,60.41015625,98.07867431640625,79.24441528320312,label,labeled,date_opened,x0,,
20,7,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,date_opened,x0,,
20,7,3,1.11.2022,309.0,349.2423095703125,329.12115478515625,xp,labeled,date_opened,x0,,
20,7,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,date_opened,x0,,
20,8,,Balance,36.75,72.26800537109375,54.509002685546875,label,heading_check,,x0,,
20,8,,Owed:,74.61328125,103.05767822265625,88.83547973632812,label,heading_check,,x0,,
20,8,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,8,,Balance,36.75,72.26800537109375,54.509002685546875,label,band,,x0,,
20,8,,Owed:,74.61328125,103.05767822265625,88.83547973632812,label,band,,x0,,
20,8,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,8,,"$12,091",309.0,341.7496337890625,325.37481689453125,xp,band,,x0,,
20,8,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,8,0,Balance,36.75,72.26800537109375,54.509002685546875,label,labeled,balance_owed,x0,,
20,8,1,Owed:,74.61328125,103.05767822265625,88.83547973632812,label,labeled,balance_owed,x0,,
20,8,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,balance_owed,x0,,
20,8,3,"$12,091",309.0,341.7496337890625,325.37481689453125,xp,labeled,balance_owed,x0,,
20,8,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,balance_owed,x0,,
20,9,,Closed,36.75,66.28273010253906,51.51636505126953,label,heading_check,,x0,,
20,9,,Date:,68.6279296875,92.51519775390625,80.57156372070312,label,heading_check,,x0,,
20,9,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,9,,Closed,36.75,66.28273010253906,51.51636505126953,label,band,,x0,,
20,9,,Date:,68.6279296875,92.51519775390625,80.57156372070312,label,band,,x0,,
20,9,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,9,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
20,9,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,9,0,Closed,36.75,66.28273010253906,51.51636505126953,label,labeled,closed_date,x0,,
20,9,1,Date:,68.6279296875,92.51519775390625,80.57156372070312,label,labeled,closed_date,x0,,
20,9,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,closed_date,x0,,
20,9,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,closed_date,x0,,
20,9,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,closed_date,x0,,
20,10,,Account,36.75,73.52269744873047,55.136348724365234,label,heading_check,,x0,,
20,10,,Rating:,75.861328125,107.45660400390625,91.65896606445312,label,heading_check,,x0,,
20,10,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,10,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
20,10,,Rating:,75.861328125,107.45660400390625,91.65896606445312,label,band,,x0,,
20,10,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,10,,Derogatory,309.0,354.43499755859375,331.7174987792969,xp,band,,x0,,
20,10,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,10,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_rating,x0,,
20,10,1,Rating:,75.861328125,107.45660400390625,91.65896606445312,label,labeled,account_rating,x0,,
20,10,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,account_rating,x0,,
20,10,3,Derogatory,309.0,354.43499755859375,331.7174987792969,xp,labeled,account_rating,x0,,
20,10,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,account_rating,x0,,
20,11,,Account,36.75,73.52269744873047,55.136348724365234,label,heading_check,,x0,,
20,11,,Description:,75.861328125,130.17633056640625,103.01882934570312,label,heading_check,,x0,,
20,11,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,11,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
20,11,,Description:,75.861328125,130.17633056640625,103.01882934570312,label,band,,x0,,
20,11,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,11,,Individual,309.0,347.61407470703125,328.3070373535156,xp,band,,x0,,
20,11,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
20,11,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_description,x0,,
20,11,1,Description:,75.861328125,130.17633056640625,103.01882934570312,label,labeled,account_description,x0,,
20,11,2,--,172.875,178.66000366210938,175.7675018310547,tu,labeled,account_description,x0,,
20,11,3,Individual,309.0,347.61407470703125,328.3070373535156,xp,labeled,account_description,x0,,
20,11,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,account_description,x0,,
20,12,,Dispute,36.75,71.45941162109375,54.104705810546875,label,heading_check,,x0,,
20,12,,Status:,73.8046875,104.96490478515625,89.38479614257812,label,heading_check,,x0,,
20,12,,--,172.875,178.66000366210938,175.7675018310547,tu,heading_check,,x0,,
20,12,,Dispute,36.75,71.45941162109375,54.104705810546875,label,band,,x0,,
20,12,,Status:,73.8046875,104.96490478515625,89.38479614257812,label,band,,x0,,
20,12,,--,172.875,178.66000366210938,175.7675018310547,tu,band,,x0,,
20,12,,Account,309.0,341.8668518066406,325.4334259033203,xp,band,,x0,,
20,12,,not,344.208984375,357.8058166503906,351.0074005126953,xp,band,,x0,,
20,12,,disputed,360.14794921875,395.7109680175781,377.92945861816406,xp,band,,x0,,
20,12,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
